Status_Data,Claim_Data,Price_Rating,Transaction_Data,Updated_Review_Count,Updated_Rating
FALSE,TRUE,2,delivery,129,4
FALSE,TRUE,2,nan,9,4
FALSE,TRUE,2,delivery,43,4
FALSE,TRUE,nan,nan,422,4.5
FALSE,TRUE,2,nan,473,3.5
FALSE,TRUE,nan,nan,31,4.5
TRUE,TRUE,1,"pickup, delivery",160,3.5
FALSE,TRUE,nan,nan,16,5
FALSE,TRUE,1,delivery,133,3.5
FALSE,TRUE,2,"delivery, pickup",78,4
FALSE,TRUE,2,nan,147,4
TRUE,TRUE,1,"delivery, pickup",131,4.5
FALSE,TRUE,2,"pickup, delivery",647,3.5
FALSE,TRUE,2,"pickup, delivery",209,3.5
FALSE,TRUE,2,nan,80,3
FALSE,TRUE,nan,nan,20,4.5
FALSE,TRUE,nan,nan,44,4.5
FALSE,TRUE,1,nan,49,4.5
FALSE,TRUE,2,"delivery, pickup",241,4
FALSE,TRUE,nan,nan,126,5
TRUE,TRUE,1,nan,71,4
FALSE,TRUE,2,delivery,69,3
FALSE,TRUE,1,"delivery, pickup",235,4
FALSE,TRUE,2,nan,60,2.5
TRUE,TRUE,1,delivery,73,3.5
FALSE,TRUE,2,"pickup, delivery",55,3
FALSE,TRUE,nan,delivery,25,4.5
FALSE,TRUE,2,"delivery, pickup",95,3.5
FALSE,TRUE,2,delivery,69,4
FALSE,TRUE,1,nan,104,2.5
FALSE,TRUE,nan,nan,41,4.5
FALSE,TRUE,2,"pickup, delivery",62,2.5
FALSE,TRUE,2,delivery,437,3.5
FALSE,TRUE,1,delivery,186,5
FALSE,TRUE,nan,nan,20,5
FALSE,TRUE,3,"delivery, pickup",493,3
FALSE,TRUE,1,"delivery, pickup",45,4
FALSE,TRUE,1,delivery,40,1.5
FALSE,TRUE,2,delivery,454,3.5
FALSE,TRUE,nan,nan,42,4
FALSE,FALSE,1,nan,81,3.5
FALSE,TRUE,nan,nan,20,3.5
FALSE,FALSE,2,delivery,347,4
FALSE,TRUE,nan,nan,399,4.5
FALSE,TRUE,1,"delivery, pickup",182,3.5
FALSE,TRUE,nan,nan,19,4.5
FALSE,TRUE,1,nan,99,5
TRUE,TRUE,2,nan,306,3
FALSE,TRUE,nan,nan,43,3.5
FALSE,TRUE,2,nan,141,4
FALSE,TRUE,nan,nan,115,3
TRUE,TRUE,2,"delivery, pickup",122,4
FALSE,TRUE,2,delivery,84,3.5
FALSE,TRUE,2,nan,40,4.5
FALSE,TRUE,2,"pickup, delivery",402,4
FALSE,TRUE,1,delivery,46,1.5
FALSE,TRUE,nan,"pickup, delivery",44,3.5
FALSE,TRUE,2,"delivery, pickup",98,3.5
FALSE,TRUE,1,delivery,82,2
FALSE,TRUE,nan,nan,35,2.5
FALSE,TRUE,2,"delivery, pickup",132,3.5
FALSE,TRUE,2,nan,51,3.5
FALSE,TRUE,1,delivery,62,4
FALSE,TRUE,2,"delivery, pickup",200,3.5
FALSE,TRUE,2,delivery,175,4
FALSE,TRUE,1,delivery,22,4
FALSE,TRUE,2,nan,32,5
FALSE,TRUE,2,nan,15,3.5
FALSE,TRUE,nan,"delivery, pickup",26,3.5
FALSE,FALSE,1,delivery,109,4
TRUE,TRUE,2,"pickup, delivery",283,3.5
FALSE,TRUE,2,"pickup, delivery",60,4.5
FALSE,TRUE,nan,"pickup, delivery",19,4
FALSE,TRUE,2,"pickup, delivery",135,3.5
TRUE,TRUE,2,nan,24,2.5
FALSE,TRUE,2,nan,44,4.5
FALSE,TRUE,1,"delivery, pickup",119,3.5
FALSE,TRUE,nan,nan,23,1.5
FALSE,TRUE,2,delivery,42,4.5
FALSE,TRUE,1,delivery,57,2
FALSE,FALSE,nan,nan,65,2.5
FALSE,TRUE,nan,nan,51,5
FALSE,TRUE,nan,nan,9,4
FALSE,FALSE,2,nan,59,3.5
FALSE,TRUE,2,"pickup, delivery",273,3.5
FALSE,TRUE,2,"delivery, pickup",218,4
FALSE,TRUE,nan,nan,87,2
FALSE,TRUE,nan,nan,64,5
FALSE,TRUE,2,delivery,183,3.5
FALSE,TRUE,2,nan,39,3.5
FALSE,TRUE,2,"pickup, delivery",590,4
FALSE,TRUE,1,delivery,20,1.5
FALSE,TRUE,nan,nan,7,2
FALSE,TRUE,nan,nan,64,2.5
