index,True_False_Ratio,hour_per_day,positive,negative,cases_per_100000,state_OR,is_claim,price_alt,is_delivery,is_pickup,updated_review_count,updated_rating,is_open_api
1,0.258064516,12.85714286,0.053364269,0.009280742,9099.6,1,1,2,1,0,129,4,1
2,0.684210526,8.333333333,0.050847458,0.011299435,15107.12856,0,1,2,0,0,9,4,1
3,0.464285714,10.33333333,0.06122449,0.018707483,15107.12856,0,1,2,1,0,43,4,1
4,0.666666667,9.6,0.048441355,0.010316214,4105.8,1,1,1.78,0,0,422,4.5,1
5,0.234042553,15,0.042189148,0.017227235,12351.68185,0,1,2,0,0,473,3.5,1
6,1,12.75,0.067237164,0.025672372,5110.7,1,1,1.78,0,0,31,4.5,1
7,0.357142857,6.714285714,0.050239234,0.022727273,10328.2,1,1,1,1,1,160,3.5,0
8,0,9.166666667,0.076923077,0.006322445,25973.54281,0,1,1.78,0,0,16,5,1
9,0.40625,16,0.052393857,0.009936766,9348.770421,0,1,1,1,0,133,3.5,1
10,0.379310345,10.78571429,0.057692308,0.013461538,11016.1206,0,1,2,1,1,78,4,1
11,0.333333333,8.666666667,0.063917526,0.010309278,12351.68185,0,1,2,0,0,147,4,1
12,0.257142857,7.928571429,0.050746269,0.007462687,4105.8,1,1,1,1,1,131,4.5,0
13,0.441176471,6.857142857,0.048980607,0.018150174,6824.775966,0,1,2,1,1,647,3.5,1
14,0.454545455,12.14285714,0.045188285,0.015899582,6135.892307,0,1,2,1,1,209,3.5,1
15,0.571428571,12,0.024725275,0.029304029,5971.1,1,1,2,0,0,80,3,1
16,1,8.9,0.04522792,0.029202279,6634,1,1,1.78,0,0,20,4.5,1
17,1,13.2,0.08411215,0.015576324,4732.8,1,1,1.78,0,0,44,4.5,1
18,0.3,10.57142857,0.058504875,0.015167931,9026.812652,0,1,1,0,0,49,4.5,1
19,0.6,8.857142857,0.04884474,0.016738928,10515.1,1,1,2,1,1,241,4,1
20,0.5,18.85714286,0.052719665,0.014058577,4358.2,1,1,1.78,0,0,126,5,1
21,0.275862069,7,0.070930233,0.008139535,10328.2,1,1,1,0,0,71,4,0
22,0.275862069,10.92857143,0.043219076,0.023845007,12033.07723,0,1,2,1,0,69,3,1
23,0.387096774,8.4,0.045657016,0.0155902,9026.812652,0,1,1,1,1,235,4,1
24,0.285714286,0,0.025803311,0.030185005,6135.892307,0,1,2,0,0,60,2.5,1
25,0.5,0,0.036082474,0.008591065,4175.3,1,1,1,1,0,73,3.5,0
26,0.454545455,0,0.029752066,0.023966942,11193.1,1,1,2,1,1,55,3,1
27,0.6,10.5,0.067372474,0.01732435,9426.7,1,1,1.78,1,0,25,4.5,1
28,0.342857143,11.14285714,0.047417443,0.022861981,5756.883854,0,1,2,1,1,95,3.5,1
29,0.285714286,6,0.053025703,0.015786278,4175.3,1,1,2,1,0,69,4,1
30,0.125,9.428571429,0.025826446,0.026859504,12351.68185,0,1,1,0,0,104,2.5,1
31,0.5,8.666666667,0.060491493,0.005671078,6520.8,1,1,1.78,0,0,41,4.5,1
32,0.44,14.71428571,0.030864198,0.018518519,13309.56295,0,1,2,1,1,62,2.5,1
