restaurant,positive,negative
--ToovR1Ob2e131ZifC9Eg,0.027751196172248804,0.015311004784688996
--hkbIWgBKBOZq4VcNwdhQ,0.04326647564469914,0.0166189111747851
--z9usx6Fin8P_f0vc7DGQ,0.05817028027498678,0.007403490216816499
-0SmuXTzQITMmr_jfXrLrA,0.0751269035532995,0.01015228426395939
-0U6xz5cKY1PB_TJhKiCVw,0.025654450261780103,0.03717277486910995
-0iqnv7MjKrgh7Q7bYRlUQ,0.04734848484848485,0.022727272727272728
-1ShItlulHnBsoOQWnblzw,0.047671433810047674,0.01906857352401907
-1b5PAJFq9L-EXEzPkQFVg,0.024154589371980676,0.029790660225442835
-1inWc6ACbp-dD270xRqEw,0.022822822822822823,0.029129129129129128
-1qJoy4LxbG_GmKn6Bizbg,0.05564387917329094,0.00794912559618442
-2OFRpDsjtwFJP31W_JS3A,0.04039167686658507,0.031211750305997554
-2aMFgYft7rED0bstJelAA,0.04576659038901602,0.016018306636155607
-362yOi46IAjjQChu8o51g,0.02491349480968858,0.020069204152249134
-3WdGZdZKHbi8-KorPggtw,0.031055900621118012,0.015971606033717833
-3ZdiZIoGLrWvv3NK8-tsg,0.05130890052356021,0.004188481675392671
-3hOKrEHuGaDR9WiaG-KKw,0.04927007299270073,0.016423357664233577
-3hnEon-pSQRGPDr80s3Gw,0.059230009871668314,0.012833168805528134
-3jnPOLStOTqf7pF_4mKRg,0.03805496828752643,0.019027484143763214
-4bP1UUgpZumIu6DZMaMzw,0.06497022198159177,0.01949106659447753
-4v7EsRnSK00sAgu6wxfgw,0.037243947858473,0.020484171322160148
-51v1nSIQvqbYfILt8BSKw,0.048,0.017777777777777778
-6CntFhkuORCdGv5yjQsxQ,0.05517241379310345,0.004597701149425287
-6EBfz4jvGVLZILry8SmCA,0.03164556962025317,0.02267932489451477
-6EoOHhsnlY-69ZWc2D9LQ,0.04257767548906789,0.012658227848101266
-7C5aM1UytSeiHksXNNFSg,0.060836501901140684,0.016295491580662683
-7LJj_EXiOWAe9TcGqUyFQ,0.011508951406649617,0.034526854219948847
-7LhyL0f41vAeyMC_J7DsA,0.05482456140350877,0.012426900584795321
-8IpjW6TJbH0VfbPDppUhg,0.028908554572271386,0.02359882005899705
-8LDoPjHsg6QM1djzneCTw,0.047910741632028006,0.010938525486764383
-8YWw6_QtKe-uDtPVL4ebQ,0.049026192075218265,0.014775016789791807
-921gYzvMFJmxJw9SMZ5mA,0.05382087099424815,0.01437962202136401
-938jbP4QBtSLuXgZsLeNQ,0.02972749793559042,0.01981833195706028
-9UGbZp1PqSei4CCsm3HXA,0.05290040131338927,0.014228383801532287
-9Xrvq_h_wuY7NLUCmMeRQ,0.05312275664034458,0.01722900215362527
-9rzlk7dPHDKiP_SPJAytA,0.0552228875582169,0.00665335994677312
-A2KzV0CzAx30XzMjrTubw,0.022594311075247127,0.02642727456122655
-A_VzQS6D9_Ol5cLtrK2uA,0.06422018348623854,0.007135575942915392
-BBHfQBgBD1BA5wzVui86Q,0.0493491354186905,0.01670876238585584
-BM788vd-9SxpaSBlqjVQw,0.05758683729433273,0.018281535648994516
-Bj2in9Cp19RxmLKP2MYMw,0.051694915254237285,0.019915254237288134
-BngK7oD1niOGHDAiYthow,0.028079710144927536,0.024003623188405796
-CHlmiozoc4JAqwUOu8ZbQ,0.03609831029185868,0.016129032258064516
-Ce8p148xb0-4dv_3zwm3A,0.05258386219401632,0.011332728921124207
-DEM-yr8KCwxr4NC_jVC1A,0.04815509693558474,0.01938711694809256
-DISJqPp4zcDVw7R-MOjog,0.051539491298527446,0.019410977242302542
-DYiop6_mEPe8NSkoSCqdg,0.054553264604811,0.015034364261168385
-Dz3a6c0lxdVla1v0yI1uA,0.0765661252900232,0.004640371229698376
-E1kVYGDwyijG06SaCmvuQ,0.0661282949870486,0.012341916806338565
-E47D-Bv1HY5M80KZbsmZQ,0.05616740088105727,0.02092511013215859
-EAsjdVnqx4kao0oEZEDxA,0.04056902002107481,0.016332982086406742
-EX9nndXHa1MexU0B-9_-g,0.03178258866881621,0.030400736987563334
-Eg1pMVoWg8YR6-O4QuTxw,0.048223350253807105,0.021150592216582064
-Ejrd3LITPWZEdlZ-MaaaQ,0.03533026113671275,0.01228878648233487
-F0I2qD5QoDKp8MwrLbb2g,0.024741340530814216,0.02384165542060279
-F60MZqS1gebduEO4ZXrkQ,0.05962491153573956,0.01627742392073602
-FUincIKiXnDph33ndfQjQ,0.03484320557491289,0.02264808362369338
-FrcG-8YSlN1b5i0eGGqBA,0.049886621315192746,0.018140589569160998
-FvWphYmmaEt80XszpM_qQ,0.035046728971962614,0.009345794392523364
-GABkKWdQ5uZmTjiWXyEUQ,0.021634615384615384,0.034054487179487176
-GAIdsxdAqVf877a3vXIFw,0.037162162162162164,0.010135135135135136
-GLcrKP1NZq-2L8MHYzkPQ,0.03443238731218698,0.023580968280467445
-GVUtWSi6-G5LUK84sUtMA,0.04137666815656727,0.021263010024902624
-Ghon5H01IghsBVEz2qQGA,0.049540551338393926,0.01558130243707551
-HAnw1kFn928Xv2VJSp21A,0.038995965934558494,0.0062752129090094125
-HcDOeP2HR29aFt3j4cfnA,0.05118976204759048,0.013797240551889621
-HfxEoo3wIWFApvuDcHEGg,0.055701919458035376,0.010161836657884832
-HiguvsgXatMOlJX4r_KXg,0.017543859649122806,0.0341130604288499
-HoWDZGnCl1MjORMVMrV3A,0.040847983453981385,0.016546018614270942
-IIvmjoEKa9Trhf4OxzJeA,0.07086859133897462,0.01088850174216028
-IOP1nLvNeYDkGQDp49xnQ,0.05368671423717295,0.021746517159361198
-IXYs7M45p0jjWDd-1TONg,0.06749688667496886,0.01569115815691158
-Ijgv6vbojWToDadfgTrDw,0.036273701566364384,0.011541632316570486
-Il9Xs9dDDkE2jze7nf9KA,0.04504504504504504,0.02042042042042042
-Iv0DEJDr_F6urwThI2Sew,0.03488372093023256,0.020930232558139535
-JIrGx5ePMtMVTBb1SKHbw,0.055793991416309016,0.006008583690987125
-Jhi5kHKCDYHSI2ASX6Bow,0.022408963585434174,0.028944911297852476
-Jwtk3P9epfGRUzwdzTIFQ,0.07104984093319194,0.018027571580063628
-K13vVxoJ1OyH6iHebT36A,0.04559270516717325,0.0121580547112462
-KkVU95LrP3784zG1Euw2w,0.06641760066417601,0.008717310087173101
-Kyz-sRa-hSN0pTXCZc1BA,0.051188299817184646,0.01593105249412379
-L23EppYMUDJWrPKzKx2dw,0.05535841022001419,0.018452803406671398
-L69Ix0-xX4BlHA61fGvrQ,0.049511400651465795,0.01758957654723127
-LLyRPXZtoEHEP0Gus_igQ,0.046235138705416116,0.003963011889035667
-LRz5_1fAsLOD3znnipYOQ,0.05253012048192771,0.009397590361445784
